text,category
blood test at lal path labs,Health
flipkart headphones,Shopping
upi dmart fruits,Grocery
netmeds mri scan,Health
phonepe paid temple donation,Others
invested in stock market investment payment,Investment
paytm college semester fee for unacademy,Education
accenture neft from employer payment,Salary
paytm local gym marathon registration,Fitness
upi paid for eye checkup,Health
paid for toll tax,Transport
uber ride to airport via bmtc,Transport
upi bought rice and dal from bigbasket,Grocery
health checkup at 1mg,Health
bought fruits from bigbasket,Grocery
mobile recharge for act fibernet,Bills
nike sports bra,Shopping
paid hostel room rent payment,Rent
phonepe trip to chennai,Travel
upi medicines at pharmeasy,Health
paid for paid certification fee,Education
payment received from infosys,Salary
broadband recharge for airtel,Bills
phonepe udemy certification fee,Education
paid for meesho dress,Shopping
vi broadband recharge,Bills
uber ride to airport via delhi metro payment,Transport
tickets on youtube premium,Entertainment
paid for salary credited from wipro,Salary
paid for udemy workshop,Education
paid for paytm movies subscription,Entertainment
upi mobile recharge for mcgm,Bills
paytm bonus from infosys,Salary
h&m order,Shopping
paid for monthly monthly ration,Grocery
phonepe electricity bill payment for vi,Bills
paid for hotel in manali via cleartrip,Travel
sony liv subscription payment,Entertainment
salary credited from fiverr payment,Salary
monthly room maintenance payment,Rent
missing cash payment,Others
freelance stipend,Salary
paid for bought snacks from swiggy,Grocery
air india flight to singapore,Travel
paid flat rent,Rent
wifi bill for bescom payment,Bills
upi neft from employer from cognizant,Salary
upi f45 marathon registration,Fitness
paytm unacademy exam registration fee,Education
paid for shopping at puma,Shopping
binance gold bees,Investment
bookmyshow subscription payment,Entertainment
standup comedy via amazon prime payment,Entertainment
monthly mobile recharge,Bills
paytm pharmeasy mri scan,Health
physiotherapy at lal path labs,Health
paid for upi petrol pump cash,Others
upi paid for zumba classes,Fitness
upi upi cash withdrawal,Others
fd via coin payment,Investment
surgical mask at healthians payment,Health
edx certification fee,Education
upi upi transfer for lease agreement fee,Rent
paid for cult fit badminton court booking,Fitness
auto fare via bmtc payment,Transport
paid for cult fit creatine,Fitness
infosys stipend,Salary
paytm invested in crypto,Investment
local tuition tuition fee,Education
paytm monthly groceries,Grocery
paid for health checkup,Health
phonepe airtel dth recharge,Bills
invested in fd,Investment
paytm car diesel via indian oil,Transport
paytm cognizant salary credited,Salary
paid for paid pg accommodation,Rent
paid for creatine via muscleblaze,Fitness
upi upi transfer for security deposit,Rent
h&m sunglasses,Shopping
upi upi to zomato,Food
paytm westside order,Shopping
paid for upi to dominos,Food
paid for received consulting fee,Salary
paid tuition fee payment,Education
paid for paid flat rent,Rent
escape room via spotify,Entertainment
zerodha ipo application,Investment
ksrtc booking,Travel
paytm upi transfer for lease agreement fee,Rent
upi paid property tax,Bills
paytm air india booking,Travel
decathlon dress payment,Shopping
paid for xray,Health
upi myprotein creatine,Fitness
freelance neft from employer,Salary
upi paid lease agreement fee,Rent
upi tickets on pvr,Entertainment
upi doctor consultation at local chemist,Health
upi hospital bill at netmeds,Health
paid for monthly bread,Grocery
phonepe bought rice and dal from local kirana,Grocery
paytm stationery for local tuition,Education
paid for uber ride to airport,Transport
metro recharge,Transport
books purchase for simplilearn,Education
paytm shopping at nike,Shopping
university tuition fee,Education
phonepe paid fine payment,Others
myntra laptop payment,Shopping
paid for monthly hostel room rent,Rent
tickets on steam,Entertainment
phonepe sony liv subscription,Entertainment
whey protein via nutrabay,Fitness
upi to cafe coffee day,Food
myntra order,Shopping
bsnl wifi bill,Bills
paytm wipro salary credited,Salary
upi to barbeque nation payment,Food
upi netmeds xray,Health
wifi bill for adani electricity payment,Bills
swiggy cleaning supplies,Grocery
upi transfer for lease agreement fee payment,Rent
f45 creatine,Fitness
upwork stipend,Salary
upi blinkit bread,Grocery
paytm college semester fee for udemy,Education
paid for dinner thali,Food
phonepe coursera course,Education
paytm zara sneakers,Shopping
auto fare via shell,Transport
phonepe practo xray,Health
paytm wifi bill for bescom,Bills
paid for airbnb booking,Travel
cab ride via dtc,Transport
uber ride to airport via indian oil,Transport
eats order payment,Food
paid for monthly eggs,Grocery
paytm dinner chicken biryani,Food
upi medplus dentist,Health
paid for escape room,Entertainment
upi dinner sandwich,Food
paid for srl diagnostics surgical mask,Health
